designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,84.9,-36.3,-90,bottom
C2,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,92.6,-33,180,bottom
C3,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.5,-39,180,bottom
C4,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.5,-40.5,0,bottom
C5,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.7,-39.6,-90,bottom
C6,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,97.4,-110.3,0,bottom
C7,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87,-101.8,90,bottom
C8,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.9,-93.6,90,bottom
C9,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,83.6,-102.6,90,bottom
D1,PRTR5V0U2X,SOT-143,88.9,-107.2,90,bottom
D2,D_Schottky,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90,-36,90,bottom
D3,LED,LED_D3.0mm,105.1,-100.975,90,bottom
D4,LED,LED_D3.0mm,139,-62.875,90,bottom
D5,LED,LED_D3.0mm,136.2,-67.775,90,bottom
D6,LED,LED_D3.0mm,133.4,-72.675,90,bottom
D7,LED,LED_D3.0mm,130.6,-77.575,90,bottom
D8,LED,LED_D3.0mm,127.8,-82.475,90,bottom
D9,LED,LED_D3.0mm,125,-87.375,90,bottom
D10,LED,LED_D3.0mm,105,-106.175,90,bottom
D11,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,82.9,-96.2,90,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,77.8,-107.2,90,bottom
J2,speaker,PinHeader_1x02_P2.54mm_Vertical,137,-32.575,0,bottom
J3,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Vertical,78.2,-98.7,0,bottom
J4,Out_speaker,PinHeader_1x02_P2.54mm_Vertical,137,-40.075,0,bottom
Q1,Q_NMOS_GSD,SOT-23,96,-102.1,-90,bottom
Q2,Q_NMOS_GSD,SOT-23,96.05,-98.1625,90,bottom
R1,4.99k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,85.5,-109.6,90,bottom
R2,4.99k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.7,-105.4,180,bottom
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,82.5,-37.5,180,bottom
R4,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,105.2,-94.5,90,bottom
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.2,-39.6,-90,bottom
R6,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,133.6,-60.2,180,bottom
R7,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,131.1,-65.3,180,bottom
R8,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,128.5,-70.1,180,bottom
R9,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,125.8,-75,180,bottom
R10,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,122.9,-79.9,180,bottom
R11,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,120.3,-84.8,180,bottom
R12,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,102.3,-94.5,90,bottom
R13,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,82.9,-92.3,90,bottom
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.4,-92.2,90,bottom
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,80.9,-92.3,90,bottom
R16,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,92.6,-31.5,180,bottom
R17,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.3,-37.2,180,bottom
R18,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.3,-35.7,180,bottom
TH1,Thermistor,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,86.68,-31.8,0,bottom
U1,ESP32-WROOM-32E,ESP32-WROOM-32D,90.04,-51.05,-90,bottom
U2,AZ1117-3.3,SOT-223,89.3,-95.6,90,bottom
U3,CH340K,CH340K,95.925,-106.8795,90,bottom
U4,~,MP3-TF-16P,151.11,-37.69,0,bottom
